Date,Humidity,Events,Weather,Rainfall,Tourism_Demand
2012-06,91.14,Ibom Food Fest,Cloudy,98.34,1521
2012-07,69.53,Ibeno Beach,Cloudy,75.31,1476
2012-08,80.15,Ibom Food Fest,Sunny,47.87,1731
2012-09,99.75,Local Sports Event,Sunny,19.64,1690
2012-10,88.67,Ibom Food Fest,Sunny,20.99,1655
2012-11,66.35,Ibom Food Fest,Cloudy,254.37,1404
2012-12,68.5,Ekpo Display,Cloudy,14.55,1994
2013-01,83.77,Ibeno Beach,Cloudy,140.93,1953
2013-02,69.51,Local Sports Event,Cloudy,165.71,1957
2013-03,71.87,Ibeno Beach,Sunny,35.59,1696
2013-04,79.83,Ibom Food Fest,Sunny,14.15,1731
2013-05,94.99,Ibaka,Stormy,288.46,1356
2013-06,92.51,Local Sports Event,Sunny,28.59,1701
2013-07,92.91,Ibeno Beach,Sunny,7.59,1678
2013-08,96.12,Ekpo Display,Sunny,41.36,1742
2013-09,79.65,Ibom Food Fest,Rainy,42.43,1458
2013-10,66.46,Ibeno Beach,Sunny,40.57,1650
2013-11,87.63,Ibom Food Fest,Cloudy,163.82,1514
2013-12,97,9999 Carol Night,Cloudy,234.13,1923
2014-01,69.97,Ekpo Display,Sunny,12.06,2151
2014-02,92.65,Ekpo Display,Cloudy,13.94,1998
2014-03,93.9,Ibom Food Fest,Sunny,27.45,1742
2014-04,82.98,Local Sports Event,Sunny,31.08,1668
2014-05,81.79,Ibeno Beach,Cloudy,256.86,1487
2014-06,93.71,Ibeno Beach,Cloudy,108.96,1533
2014-07,77.63,Ibaka,Sunny,41.43,1663
2014-08,99.59,Local Sports Event,Cloudy,174.38,1470
2014-09,70.05,Ibaka,Stormy,28.02,1382
2014-10,77.03,Ekpo Display,Cloudy,82.85,1492
2014-11,99.12,Local Sports Event,Sunny,40.22,1672
2014-12,92.93,Ibaka,Cloudy,179.85,2033
2015-01,81.62,Ibaka,Sunny,38.15,2150
2015-02,70.27,Ibom Food Fest,Cloudy,199.17,2042
2015-03,71.5,Ibeno Beach,Sunny,15,1663
2015-04,84.3,Ibaka,Sunny,44.68,1718
2015-05,87.69,Ibom Food Fest,Cloudy,29.94,1499
2015-06,65.13,Ibeno Beach,Sunny,6.67,1725
2015-07,86.4,Local Sports Event,Sunny,19.24,1720
2015-08,67.3,Ibeno Beach,Cloudy,70.18,1457
2015-09,99.84,Ekpo Display,Stormy,35.03,1425
2015-10,65.46,Ekpo Display,Rainy,233.22,1485
2015-11,97.56,Ibom Food Fest,Sunny,7.06,1683
2015-12,68.32,Ibeno Beach,Sunny,23,2170
2016-01,93.31,Local Sports Event,Cloudy,98.33,1972
2016-02,69.93,Ibeno Beach,Sunny,30.08,2198
2016-03,62.44,Local Sports Event,Cloudy,170.21,1478
2016-04,78.38,Ibom Food Fest,Sunny,48.56,1651
2016-05,96.63,Ibaka,Sunny,40.59,1722
2016-06,86.87,Ibom Food Fest,Rainy,249.4,1441
2016-07,83.77,Local Sports Event,Cloudy,261.97,1457
2016-08,64.55,Ibaka,Cloudy,163.97,1456
2016-09,80.98,Local Sports Event,Rainy,256.09,1444
2016-10,91.76,Ibaka,Sunny,19.46,1666
2016-11,85.5,Ibom Food Fest,Sunny,9.4,1707
2016-12,64.91,Local Sports Event,Sunny,38.3,2181
2017-01,81.89,Local Sports Event,Stormy,78.56,1855
2017-02,76.36,Ibeno Beach,Sunny,11.03,2162
2017-03,84.37,Ibeno Beach,Cloudy,13.82,1515
2017-04,94.47,Local Sports Event,Sunny,49.66,1659
2017-05,74.69,Ekpo Display,Sunny,11.08,1742
2017-06,66.05,Ibeno Beach,Cloudy,146.22,1451
2017-07,80.16,Ibeno Beach,Cloudy,216.04,1401
2017-08,83.21,Ibaka,Cloudy,77.68,1524
2017-09,83.91,Local Sports Event,Cloudy,99.85,1459
2017-10,71.1,Ekpo Display,Stormy,61.64,1439
2017-11,81.04,Ekpo Display,Sunny,36.52,1694
2017-12,82.43,Ekpo Display,Sunny,2.3,2219
2018-01,73.67,Ibaka,Sunny,30.09,2182
2018-02,81.66,Ibeno Beach,Rainy,289.19,1934
2018-03,61.09,Ibom Food Fest,Rainy,151.47,1509
2018-04,93.85,Ibom Food Fest,Sunny,8.62,1672
2018-05,81.68,Ekpo Display,Cloudy,88.27,1460
2018-06,72.73,Ibom Food Fest,Cloudy,6.96,1465
2018-07,79.22,Ekpo Display,Stormy,202.73,1382
2018-08,87.44,Local Sports Event,Cloudy,17.64,1503
2018-09,70.64,Ekpo Display,Sunny,22.49,1748
2018-10,66.12,Ibaka,Cloudy,40.17,1533
2018-11,68.49,Ibaka,Rainy,182.12,1505
2018-12,81.12,Ibeno Beach,Cloudy,143.67,1964
2019-01,71.98,Ibaka,Sunny,41.84,2250
2019-02,74.71,Ibeno Beach,Stormy,183.83,1882
2019-03,70.56,Ekpo Display,Stormy,169.46,1400
2019-04,87.26,Ibaka,Sunny,19.08,1653
2019-05,86.23,Local Sports Event,Cloudy,256.15,1487
2019-06,92.87,Ibeno Beach,Sunny,18.44,1669
2019-07,81.26,Ibeno Beach,Cloudy,113.63,1460
2019-08,80.24,Ekpo Display,Sunny,13.72,1740
2019-09,92,Local Sports Event,Cloudy,202.6,1496
2019-10,68.01,Ibeno Beach,Sunny,9.03,1679
2019-11,75.03,Ibaka,Sunny,30.71,1707
2019-12,69.26,Local Sports Event,Stormy,65.76,1950
2020-01,87.91,Ibaka,Sunny,48.73,2231
2020-02,82.66,Ibeno Beach,Sunny,0.16,2175
2020-03,92.86,Ibaka,Sunny,37.27,1671
2020-04,67.96,Ibaka,Sunny,31.56,1708
2020-05,86.84,Ekpo Display,Sunny,34.3,1665
2020-06,72.6,Ekpo Display,Sunny,19.74,1670
2020-07,88.98,Ekpo Display,Sunny,43.85,1659
2020-08,69.72,Ibom Food Fest,Cloudy,233.02,1469
2020-09,93.76,Ibeno Beach,Sunny,34.27,1679
2020-10,96.93,Ibeno Beach,Cloudy,12.24,1494
2020-11,73.15,Ibom Food Fest,Sunny,19.95,1678
2020-12,88.25,Ibaka,Rainy,38.49,1981
2021-01,66.98,Ibaka,Cloudy,88.88,2002
2021-02,70.44,Ekpo Display,Sunny,35.55,2211
2021-03,99.18,Ibaka,Rainy,75.14,1453
2021-04,97.46,Ibom Food Fest,Cloudy,247.85,1447
2021-05,97.09,Ibeno Beach,Sunny,46.68,1749
2021-06,70.77,Local Sports Event,Sunny,21.63,1745
2021-07,91.54,Ekpo Display,Sunny,21.09,1651
2021-08,66.43,Ekpo Display,Sunny,27.86,1674
2021-09,63.07,Ibeno Beach,Cloudy,158.4,1472
2021-10,68.99,Ekpo Display,Cloudy,57.27,1507
2021-11,74.29,Ibaka,Sunny,5.83,1740
2021-12,86.16,9999 Carol Night,Rainy,3.51,1972
2022-01,92.22,Ibaka,Sunny,32.09,2200
2022-02,98.63,Local Sports Event,Sunny,16.3,2203
2022-03,65.06,Ibaka,Sunny,4.6,1668
2022-04,95.67,Local Sports Event,Cloudy,268.03,1473
2022-05,83.38,Local Sports Event,Sunny,32,1724
2022-06,69.45,Ibaka,Sunny,46.14,1707
2022-07,95.52,Local Sports Event,Sunny,10.21,1725
2022-08,95.75,Ibom Food Fest,Rainy,15.34,1489
2022-09,91.46,Ibeno Beach,Sunny,45.39,1654
2022-10,82.4,Local Sports Event,Sunny,16.22,1736
2022-11,96.78,Ibeno Beach,Cloudy,91.41,1546
2022-12,99.69,9999 Carol Night,Rainy,9.29,1961
2023-01,77.62,Ekpo Display,Cloudy,169.93,2044
2023-02,61.91,Ibom Food Fest,Cloudy,179.69,1994
2023-03,96.13,Ibom Food Fest,Sunny,24.17,1693
2023-04,84.57,Ibeno Beach,Sunny,20.67,1702
2023-05,69.04,Local Sports Event,Cloudy,11.56,1515
2023-06,99.8,Ibeno Beach,Cloudy,82.61,1468
2023-07,96.58,Local Sports Event,Sunny,8.96,1676
2023-08,85.55,Ibaka,Sunny,1.15,1748
2023-09,88.26,Ibom Food Fest,Rainy,91.71,1537
2023-10,82.92,Ibom Food Fest,Sunny,41.16,1657
2023-11,78.32,Local Sports Event,Rainy,55.27,1481
2023-12,89.71,Ibom Food Fest,Sunny,28.95,2219
2004-01,76.81,Ibeno Beach,Sunny,28.86,2176
2004-02,84.96,Ibeno Beach,Sunny,49.15,2179
2004-03,99.75,Ekpo Display,Sunny,7.41,1712
2004-04,80.41,Ibaka,Sunny,26.97,1669
2004-05,80.67,Ibeno Beach,Stormy,1.6,1386
2004-06,85.89,Ibeno Beach,Sunny,25.13,1692
2004-07,99.99,Ibeno Beach,Cloudy,102.69,1506
2004-08,90.27,Ibeno Beach,Sunny,12.46,1699
2004-09,73.26,Ibeno Beach,Cloudy,269.61,1445
2004-10,78.53,Ibaka,Sunny,30.23,1691
2004-11,94.1,Ibeno Beach,Cloudy,219.03,1429
2004-12,69.76,Ibaka,Sunny,3.4,2204
2005-01,62.73,Ibaka,Cloudy,157.32,1964
2005-02,72.92,Ibaka,Stormy,65.19,1857
2005-03,91.55,Ibeno Beach,Sunny,22.61,1708
2005-04,71.09,Ekpo Display,Sunny,17.27,1679
2005-05,82.59,Ibaka,Cloudy,231.58,1446
2005-06,87.55,Ibeno Beach,Sunny,11.49,1750
2005-07,62.26,Ibeno Beach,Sunny,17.89,1658
2005-08,92.38,Ekpo Display,Sunny,16.03,1651
2005-09,72.01,Ibeno Beach,Cloudy,272.85,1434
2005-10,76.79,Ibeno Beach,Sunny,49.09,1707
2005-11,92.23,Ekpo Display,Cloudy,123.36,1546
2005-12,74.32,Ibeno Beach,Cloudy,84.07,1982
2006-01,96.5,Ibaka,Sunny,33.9,2202
2006-02,75.06,Ibaka,Cloudy,5.86,2004
2006-03,72.93,Ibaka,Rainy,34.29,1494
2006-04,80.65,Ibaka,Cloudy,162.4,1456
2006-05,88.8,Ekpo Display,Sunny,30.54,1741
2006-06,92.58,Ibaka,Sunny,27,1735
2006-07,66.68,Ibaka,Cloudy,272.49,1402
2006-08,72.17,Ibeno Beach,Rainy,216.3,1495
2006-09,89.62,Ekpo Display,Cloudy,51,1494
2006-10,67.07,Ekpo Display,Sunny,16.99,1697
2006-11,94.42,Ekpo Display,Sunny,28.36,1707
2006-12,78.03,Ibaka,Cloudy,270.31,1923
2007-01,62.73,Ibaka,Cloudy,233.4,1917
2007-02,75.06,Ibeno Beach,Sunny,30.04,2221
2007-03,89.85,Ekpo Display,Stormy,168.4,1442
2007-04,90.09,Ibaka,Sunny,47.76,1672
2007-05,96.83,Ibaka,Rainy,180.28,1477
2007-06,84.22,Ibaka,Sunny,0.54,1680
2007-07,83.93,Ibeno Beach,Sunny,48.25,1718
2007-08,70.04,Ekpo Display,Rainy,153.76,1514
2007-09,91.47,Ibaka,Sunny,30.11,1670
2007-10,85.24,Ekpo Display,Sunny,8.83,1697
2007-11,66.58,Ibeno Beach,Cloudy,60.66,1470
2007-12,90.83,Ibeno Beach,Sunny,48.84,2211
2008-01,97.38,Ibeno Beach,Cloudy,129,2036
2008-02,86.87,Ibeno Beach,Cloudy,93.37,1970
2008-03,83.8,Ibaka,Sunny,5.06,1671
2008-04,71.36,Ibaka,Sunny,29.22,1712
2008-05,66.95,Ibaka,Sunny,22.93,1694
2008-06,76.39,Ekpo Display,Sunny,48.83,1744
2008-07,68.28,Ekpo Display,Rainy,212.96,1492
2008-08,77.41,Ibaka,Stormy,285.27,1316
2008-09,96.43,Ekpo Display,Cloudy,20.31,1508
2008-10,88.32,Ibaka,Sunny,37.76,1734
2008-11,89.08,Ibeno Beach,Cloudy,175.91,1470
2008-12,92.67,Ekpo Display,Sunny,5.29,2228
2009-01,96.34,Ibaka,Sunny,27.83,2188
2009-02,89.7,Ibaka,Stormy,154.45,1947
2009-03,90.75,Ibaka,Cloudy,200.38,1466
2009-04,68.98,Ekpo Display,Sunny,43.02,1695
2009-05,79.55,Ekpo Display,Cloudy,101.07,1494
2009-06,76.87,Ekpo Display,Sunny,47.42,1696
2009-07,62.27,Ibaka,Rainy,180.7,1549
2009-08,92.62,Ibeno Beach,Cloudy,217.34,1433
2009-09,78.92,Ekpo Display,Cloudy,24.8,1550
2009-10,81.98,Ekpo Display,Sunny,25.84,1746
2009-11,83.33,Ekpo Display,Cloudy,107.59,1465
2009-12,75.39,Ibaka,Cloudy,135.42,1971
2010-01,94.07,Ibaka,Sunny,2.6,2192
2010-02,89.81,Ibeno Beach,Sunny,29.68,2218
2010-03,66.27,Ibeno Beach,Cloudy,221.58,1421
2010-04,73.73,Ibaka,Stormy,269.13,1320
2010-05,80.37,Ibeno Beach,Cloudy,45.54,1548
2010-06,69.01,Ekpo Display,Stormy,22.52,1448
2010-07,92.59,Ekpo Display,Cloudy,272.8,1459
2010-08,86.94,Ibeno Beach,Cloudy,173.16,1462
2010-09,75.52,Ekpo Display,Rainy,68.66,1504
2010-10,62.51,Ibeno Beach,Rainy,199.74,1455
2010-11,70.05,Ekpo Display,Cloudy,152.34,1520
2010-12,64.56,Ibaka,Sunny,15.74,2155
2011-01,76.5,Ekpo Display,Cloudy,44.42,2034
2011-02,81.92,Ibeno Beach,Sunny,23.25,2180
2011-03,63.3,Ibom Food Fest,Rainy,2.12,1461
2011-04,86.46,Ekpo Display,Sunny,14.99,1664
2011-05,64.99,Ibom Food Fest,Stormy,64.1,1431
2011-06,68.77,Ibeno Beach,Cloudy,285.27,1472
2011-07,92.85,Ibeno Beach,Cloudy,234.95,1444
2011-08,75.23,Local Sports Event,Sunny,49.3,1716
2011-09,90.23,Ibom Food Fest,Rainy,234.58,1407
2011-10,94.22,Ibeno Beach,Cloudy,101.52,1496
2011-11,71.29,Ibeno Beach,Sunny,44.48,1721
2011-12,94.98,Local Sports Event,Cloudy,27.58,2018
2012-01,87.4,Ibom Food Fest,Sunny,13.31,2197
2012-02,84.66,Local Sports Event,Cloudy,180.06,2007
2012-03,63.18,Ekpo Display,Cloudy,283.93,1489
2012-04,68.1,Ekpo Display,Cloudy,260.7,1410
2012-05,86,Ekpo Display,Sunny,32.54,1729
2012-06,90.06,Local Sports Event,Cloudy,260.34,1410
2012-07,69.26,Ibeno Beach,Stormy,15.12,1428
2012-08,85.55,Ekpo Display,Sunny,15.87,1673
2012-09,76.17,Ibeno Beach,Sunny,1.42,1697
2012-10,70.81,Ekpo Display,Cloudy,126.81,1526
2012-11,83.85,Local Sports Event,Cloudy,272.74,1469
2012-12,77.85,Ibaka,Sunny,40.08,2250
2013-01,69.37,Ibaka,Cloudy,26.8,2024
2013-02,78.15,Ekpo Display,Sunny,16.76,2203
2013-03,93.09,Ibom Food Fest,Stormy,70.7,1380
2013-04,83.44,Ibeno Beach,Cloudy,37.85,1518
2013-05,60.08,Ibom Food Fest,Stormy,144.18,1358
2013-06,87.31,Ibom Food Fest,Rainy,169.17,1493
2013-07,73.29,Ibaka,Rainy,92.64,1451
2013-08,80.02,Ibeno Beach,Cloudy,154.35,1458
2013-09,79.04,Ibaka,Sunny,47.73,1664
2013-10,82.04,Ekpo Display,Cloudy,235.61,1430
2013-11,87.92,Ibaka,Sunny,11.75,1658
2013-12,64.3,Ibaka,Sunny,46.83,2238
2014-01,76.17,Ibom Food Fest,Cloudy,125.2,2043
2014-02,84.03,Local Sports Event,Cloudy,112.28,1951
2014-03,69.06,Local Sports Event,Stormy,172.18,1444
2014-04,86.17,Ibaka,Sunny,44.56,1669
2014-05,78.27,Ekpo Display,Sunny,37.62,1716
2014-06,67.77,Ibeno Beach,Sunny,0.59,1715
2014-07,82,Ibeno Beach,Rainy,198.77,1458
2014-08,96.12,Ekpo Display,Stormy,149.54,1388
2014-09,73.95,Ekpo Display,Rainy,22.37,1507
2014-10,80.94,Ibeno Beach,Rainy,161,1453
2014-11,82.38,Ibaka,Cloudy,198.86,1478
2014-12,72.53,9999 Carol Night,Rainy,56.99,2026
2015-01,99.34,Ekpo Display,Cloudy,95.2,2045
2015-02,60.87,Ibaka,Sunny,14.16,2168
2015-03,61.81,Local Sports Event,Rainy,162.79,1494
2015-04,76.76,Ibeno Beach,Stormy,226.12,1317
2015-05,75.48,Ekpo Display,Sunny,25.31,1702
2015-06,87.45,Ibeno Beach,Sunny,9.93,1716
2015-07,76.63,Ibeno Beach,Sunny,36.78,1711
2015-08,81.5,Ibaka,Cloudy,82.91,1538
2015-09,64.18,Local Sports Event,Sunny,46.59,1725
2015-10,70.96,Local Sports Event,Sunny,49.82,1666
2015-11,63.21,Local Sports Event,Sunny,11.7,1685
2015-12,85.62,Ekpo Display,Cloudy,164.09,2007
2016-01,97.31,Ibeno Beach,Cloudy,142.59,1987
2016-02,60.03,Ekpo Display,Sunny,39.36,2197
2016-03,81.33,Ekpo Display,Sunny,17.06,1655
2016-04,69.44,Ibaka,Sunny,30.94,1712
2016-05,62.18,Ibaka,Rainy,136.1,1547
2016-06,81.03,Ibaka,Rainy,98.02,1495
2016-07,64.25,Ekpo Display,Sunny,28.34,1723
2016-08,97.36,Ekpo Display,Sunny,40.6,1688
2016-09,94.03,Ibom Food Fest,Stormy,87.51,1399
2016-10,91.22,Ibaka,Cloudy,214.74,1432
2016-11,71.1,Local Sports Event,Sunny,41.89,1735
2016-12,74.22,Ibeno Beach,Sunny,42.61,2214
2017-01,96.08,Ekpo Display,Sunny,22.79,2211
2017-02,93.29,Ekpo Display,Sunny,38.94,2246
2017-03,99.45,Ibom Food Fest,Cloudy,155.75,1465
2017-04,69.45,Local Sports Event,Sunny,21.77,1731
2017-05,79.58,Local Sports Event,Sunny,0.77,1696
2017-06,71.71,Ekpo Display,Sunny,9.64,1709
2017-07,87.14,Ibaka,Cloudy,46.9,1491
2017-08,99.67,Ibom Food Fest,Rainy,101.98,1477
2017-09,76.46,Ibaka,Sunny,21.11,1674
2017-10,70.42,Ibaka,Cloudy,151.77,1451
2017-11,91.43,Ibeno Beach,Cloudy,91.6,1473
2017-12,79.91,Ibaka,Rainy,295.95,1914
2018-01,71.47,Ibeno Beach,Rainy,32.83,1972
2018-02,65.59,Ibeno Beach,Cloudy,261.16,1944
2018-03,60.1,Ekpo Display,Sunny,7.04,1653
2018-04,81.87,Local Sports Event,Sunny,12.23,1730
2018-05,86.97,Ekpo Display,Stormy,229.85,1355
2018-06,96.11,Local Sports Event,Rainy,47.81,1505
2018-07,71.89,Ibom Food Fest,Sunny,17.21,1672
2018-08,60.37,Local Sports Event,Rainy,36.82,1458
2018-09,90.59,Local Sports Event,Cloudy,190.75,1468
2018-10,85.31,Ibom Food Fest,Sunny,0.94,1729
2018-11,89.68,Local Sports Event,Sunny,33.78,1682
2018-12,76.37,Ibom Food Fest,Cloudy,245.77,1937
2019-01,85.15,Ibeno Beach,Sunny,21.49,2199
2019-02,73.1,Ibom Food Fest,Sunny,20.47,2196
2019-03,64.44,Ibeno Beach,Sunny,49.19,1724
2019-04,73.47,Ibom Food Fest,Sunny,1,1671
2019-05,75.21,Ekpo Display,Sunny,19.66,1710
2019-06,93.5,Ibom Food Fest,Sunny,37.79,1651
2019-07,74.56,Ibom Food Fest,Sunny,38.38,1675
2019-08,86.09,Ibom Food Fest,Sunny,23.16,1724
2019-09,72.26,Ibom Food Fest,Cloudy,228.46,1451
2019-10,99.93,Ibeno Beach,Sunny,28.06,1656
2019-11,84.74,Ibaka,Cloudy,173.79,1545
2019-12,95.95,Ibeno Beach,Cloudy,40.67,1953
2020-01,70.08,Ibom Food Fest,Rainy,205.24,1973
2020-02,75.29,Ibom Food Fest,Stormy,52.58,1862
2020-03,99.64,Ekpo Display,Sunny,2.93,1749
2020-04,82.24,Ibaka,Sunny,12.11,1677
2020-05,84.55,Ibaka,Sunny,13.09,1659
2020-06,75.51,Ibeno Beach,Sunny,10.69,1650
2020-07,97.78,Ibeno Beach,Cloudy,259.5,1472
2020-08,97.52,Local Sports Event,Cloudy,249.64,1405
2020-09,86.59,Local Sports Event,Stormy,240.56,1380
2020-10,83.78,Ibaka,Cloudy,248.85,1405
2020-11,94.23,Ibeno Beach,Sunny,40.58,1651
2020-12,67.42,Ibaka,Sunny,28.12,2224
2021-01,66.79,Local Sports Event,Cloudy,190.67,1997
2021-02,87,Ibom Food Fest,Rainy,295.62,1998
2021-03,61.01,Ibaka,Sunny,15.25,1691
2021-04,76.71,Ekpo Display,Sunny,9.75,1703
2021-05,73.43,Ibeno Beach,Sunny,18.12,1695
2021-06,60.04,Ibaka,Sunny,25.95,1737
2021-07,83.1,Ibeno Beach,Cloudy,78.98,1550
2021-08,76.05,Local Sports Event,Cloudy,59.18,1543
2021-09,80.71,Ibom Food Fest,Rainy,74.79,1538
2021-10,87.52,Local Sports Event,Rainy,75.3,1460
2021-11,80.55,Ibaka,Sunny,28.7,1651
2021-12,63.53,9999 Carol Night,Sunny,39.45,2207
2022-01,97.26,Ibaka,Rainy,35.91,1971
2022-02,68.4,Ekpo Display,Cloudy,109.06,2049
2022-03,93.83,Ibom Food Fest,Sunny,30.21,1654
2022-04,71.68,Ibom Food Fest,Sunny,40.6,1728
2022-05,89.9,Ibaka,Cloudy,82.18,1508
2022-06,65.79,Ekpo Display,Cloudy,294.49,1453
2022-07,86.58,Ibom Food Fest,Rainy,33.55,1468
2022-08,94.26,Ibeno Beach,Sunny,36.36,1661
2022-09,99.45,Local Sports Event,Sunny,32.48,1706
2022-10,78.65,Ibaka,Cloudy,244.17,1475
2022-11,69.58,Ekpo Display,Sunny,22.21,1739
2022-12,65.28,9999 Carol Night,Cloudy,34.56,1992
2023-01,69.67,Ekpo Display,Cloudy,288.2,1903
2023-02,92.12,Ibaka,Rainy,11.61,2036
2023-03,89.71,Local Sports Event,Sunny,27.3,1726
2023-04,81.88,Ibaka,Sunny,40.97,1666
2023-05,65.39,Ibeno Beach,Rainy,72.81,1520
2023-06,61.53,Ibom Food Fest,Rainy,166.51,1469
2023-07,94.97,Ibom Food Fest,Sunny,35.48,1667
2023-08,68.92,Ibaka,Sunny,29.02,1708
2023-09,81.35,Ibaka,Cloudy,47.2,1503
2023-10,62.33,Ekpo Display,Sunny,43.62,1650
2023-11,83.26,Ekpo Display,Sunny,18.04,1673
2023-12,99.15,9999 Carol Night,Sunny,13.81,2239
2004-01,94.06,Ibaka,Rainy,240.22,1966
2004-02,91.67,Ekpo Display,Sunny,9.56,2249
2004-03,86.99,Ekpo Display,Cloudy,188.95,1520
2004-04,71.48,Ekpo Display,Cloudy,19.11,1548
2004-05,95.22,Ibaka,Cloudy,89.18,1539
2004-06,62.82,Ekpo Display,Sunny,38.97,1687
2004-07,89.35,Ekpo Display,Rainy,25.94,1483
2004-08,68.48,Ekpo Display,Cloudy,216.23,1442
2004-09,72,Ekpo Display,Sunny,22.15,1733
2004-10,64.11,Ekpo Display,Sunny,14.94,1675
2004-11,77.39,Ibeno Beach,Cloudy,171.9,1464
2004-12,98.68,Ibaka,Sunny,27.02,2157
2005-01,63.36,Ibeno Beach,Sunny,7.92,2199
2005-02,99.49,Ibaka,Cloudy,69.93,2010
2005-03,94.03,Ibeno Beach,Cloudy,124.39,1538
2005-04,92.74,Ibeno Beach,Rainy,44.33,1499
2005-05,80,Ibaka,Cloudy,105.97,1456
2005-06,84.79,Ibaka,Rainy,87.65,1498
2005-07,93.19,Ekpo Display,Sunny,33.2,1692
2005-08,97.7,Ibeno Beach,Sunny,10.34,1680
2005-09,74.87,Ekpo Display,Sunny,22.16,1713
2005-10,94.94,Ekpo Display,Rainy,36.27,1525
2005-11,62.53,Ekpo Display,Stormy,213.42,1382
2005-12,98.36,Ibeno Beach,Sunny,44.27,2242
2006-01,86.56,Ekpo Display,Sunny,19.91,2224
2006-02,91.39,Ekpo Display,Sunny,48.23,2243
2006-03,98.27,Ibaka,Sunny,10.35,1724
2006-04,74.89,Ekpo Display,Stormy,158.84,1423
2006-05,61.16,Ibeno Beach,Cloudy,28.55,1459
2006-06,86.73,Ibaka,Sunny,5.33,1712
2006-07,84.19,Ibeno Beach,Sunny,5.27,1693
2006-08,62.56,Ekpo Display,Cloudy,234.07,1474
2006-09,77.87,Ibaka,Rainy,10.22,1475
2006-10,88.82,Ibeno Beach,Rainy,53.02,1471
2006-11,80.94,Ibeno Beach,Rainy,124.2,1501
2006-12,64.34,Ibaka,Sunny,49.02,2245
2007-01,66.18,Ekpo Display,Sunny,4.74,2153
2007-02,71.52,Ibeno Beach,Sunny,46.22,2237
2007-03,84.22,Ibaka,Sunny,32.77,1668
2007-04,60.6,Ekpo Display,Sunny,10.28,1726
2007-05,99.09,Ibaka,Sunny,48.19,1675
2007-06,65.89,Ibeno Beach,Stormy,10.09,1398
2007-07,68.11,Ibeno Beach,Sunny,12.59,1712
2007-08,99.75,Ibeno Beach,Cloudy,177.76,1483
2007-09,68.47,Ibeno Beach,Stormy,153.91,1440
2007-10,88.63,Ibaka,Cloudy,141.88,1547
2007-11,80.87,Ibeno Beach,Cloudy,282.76,1451
2007-12,81.58,Ibaka,Sunny,12.85,2206
2008-01,84.08,Ekpo Display,Cloudy,237.16,1970
2008-02,74.83,Ibaka,Cloudy,192.32,2041
2008-03,80.68,Ibeno Beach,Rainy,240.54,1491
2008-04,98.31,Ekpo Display,Sunny,12.94,1656
2008-05,74.9,Ekpo Display,Rainy,172.2,1453
2008-06,68.73,Ekpo Display,Rainy,211.38,1401
2008-07,85.81,Ibeno Beach,Sunny,34.45,1652
2008-08,61.7,Ibeno Beach,Sunny,1.78,1745
2008-09,93.38,Ekpo Display,Sunny,0.52,1709
2008-10,75.82,Ekpo Display,Cloudy,299.33,1475
2008-11,73.45,Ibaka,Sunny,48.3,1708
2008-12,68.63,Ibaka,Cloudy,11.56,1953
2009-01,70.17,Ibeno Beach,Stormy,153.67,1950
2009-02,97.11,Ibeno Beach,Stormy,264.36,1888
2009-03,92.97,Ekpo Display,Sunny,47.57,1727
2009-04,90.24,Ekpo Display,Sunny,6.49,1699
2009-05,81.63,Ekpo Display,Cloudy,110.8,1516
2009-06,68.06,Ibaka,Sunny,40.34,1711
2009-07,99.51,Ibaka,Sunny,40.97,1728
2009-08,62.2,Ibaka,Rainy,274.69,1463
2009-09,63.11,Ibaka,Rainy,43.69,1513
2009-10,92.38,Ibaka,Cloudy,144.39,1451
2009-11,86.56,Ibaka,Sunny,13.16,1722
2009-12,77.26,Ibeno Beach,Cloudy,136.34,2038
2010-01,82.08,Ibeno Beach,Sunny,38.14,2243
2010-02,61.98,Ibaka,Sunny,37.4,2232
2010-03,90.79,Ibaka,Cloudy,292.53,1487
2010-04,72.43,Ibaka,Cloudy,185.22,1540
2010-05,77.46,Ibeno Beach,Cloudy,102.7,1504
2010-06,95.02,Ibaka,Sunny,25.96,1690
2010-07,79.6,Ekpo Display,Cloudy,190.72,1546
2010-08,62.68,Ibeno Beach,Sunny,9.05,1684
2010-09,98.19,Ibeno Beach,Cloudy,122.21,1510
2010-10,93.43,Ibeno Beach,Cloudy,61.43,1546
2010-11,90.24,Ibaka,Cloudy,162.24,1539
2010-12,64.41,Ekpo Display,Sunny,44.84,2204
2011-01,61.73,Ibom Food Fest,Rainy,271.59,1969
2011-02,74.04,Local Sports Event,Cloudy,115.66,1957
2011-03,78.37,Ekpo Display,Sunny,23.49,1668
2011-04,69.48,Ibeno Beach,Sunny,16.96,1693
2011-05,72.62,Ibaka,Sunny,1.06,1687
2011-06,85.56,Ekpo Display,Cloudy,39.57,1479
2011-07,92.04,Ekpo Display,Cloudy,45.42,1504
2011-08,67.2,Local Sports Event,Sunny,4.33,1689
2011-09,83.87,Ekpo Display,Sunny,10.07,1708
2011-10,92.23,Ekpo Display,Rainy,122.02,1533
2011-11,92.48,Ibaka,Cloudy,33.13,1539
2011-12,95.42,Ibeno Beach,Rainy,21.87,2029
2012-01,82.96,Ibom Food Fest,Sunny,3.78,2210
2012-02,67.17,Ekpo Display,Sunny,38.97,2181
